"RANK","INC_YEAR","COMPANY","3-YR GROWTH","REVENUE","INDUSTRY","YEARS","METRO_AREA"
"122","2013","US Perishables","2,965%","$4m","Logistics & Transportation","","San Francisco"
"123","2013","Asentra","2,963%","$12.1m","Advertising & Marketing","","Bridgeport-Stamford-Norwalk, CT"
"124","2013","Quantum Networks","2,944%","$11.4m","Consumer Products & Services","","New York City"
"125","2013","FuzeBox","2,933%","$8.7m","Business Products & Services","","San Francisco"
"126","2013","Renegade Furniture Group","2,926%","$9.8m","Retail","","New York City"
"127","2013","etailz","2,898%","$13m","Retail","","Spokane-Spokane Valley, WA"
"128","2013","Target Freight Management","2,896%","$23.9m","Logistics & Transportation","","Pittsburgh, PA"
"129","2013","Maestro Technologies","2,832%","$5.1m","IT Services","","New York City"
"130","2013","Advice Interactive Group","2,808%","$3.1m","Advertising & Marketing","","Dallas"
"131","2013","Netcom3 Global","2,773%","$23.6m","Software","","Los Angeles"
"132","2013","Buy Happier","2,772%","$20.5m","Retail","","Chicago"
"133","2013","The Millennium Group International","2,758%","$4.5m","Government Services","","Washington, DC"
"134","2013","Viderity","2,741%","$10.6m","Government Services","","Washington, DC"
"135","2013","I.T. Source","2,738%","$84.5m","IT Services","","Los Angeles"
"136","2013","Videology","2,727%","$137.5m","Advertising & Marketing","","Baltimore"
"137","2013","STAR Collaborative","2,696%","$13.9m","Human Resources","","Minneapolis"
"138","2013","All Around","2,687%","$10.8m","Construction","","Minneapolis"
"139","2013","Populus","2,685%","$3m","Energy","","Boulder, CO"
"140","2013","Astrum Solar","2,665%","$41m","Energy","","Baltimore"
"141","2013","StartFinder","2,659%","$2.7m","Human Resources","","Washington, DC"
"142","2013","Cloud Sherpas","2,633%","$75.3m","IT Services","","Atlanta"
"143","2013","Apex Resources","2,625%","$22.8m","Manufacturing","","Houston"
"144","2013","RMGS","2,599%","$3.8m","Government Services","","Virginia Beach-Norfolk-Newport News, VA-NC"
"145","2013","Finch","2,593%","$2.8m","Software","","Provo-Orem, UT"
"146","2013","Dhaliwal Labs","2,588%","$8.3m","Manufacturing","","Dallas"
"147","2013","Finance Store","2,586%","$4m","Financial Services","","Los Angeles"
"148","2013","Monster Flooring SALE","2,556%","$3.7m","Retail","","Dallas"
"149","2013","Hudl","2,535%","$14.1m","Software","","Lincoln, NE"
"150","2013","Rigid Industries","2,528%","$24m","Manufacturing","","Phoenix"
"151","2013","GiftCardRescue.com","2,518%","$6.5m","Consumer Products & Services","","Baltimore"
"151","2013","GiftCardRescue.com","2,518%","$6.5m","Consumer Products & Services","","Baltimore"
"152","2013","W4","2,515%","$59.7m","Advertising & Marketing","","Los Angeles"
"152","2013","W4","2,515%","$59.7m","Advertising & Marketing","","Los Angeles"
"153","2013","Regal Wings","2,513%","$15.3m","Travel & Hospitality","","New York City"
"153","2013","Regal Wings","2,513%","$15.3m","Travel & Hospitality","","New York City"
"154","2013","Chicagoland Foreign Investment Group","2,511%","$3.9m","Financial Services","","Chicago"
"154","2013","Chicagoland Foreign Investment Group","2,511%","$3.9m","Financial Services","","Chicago"
"155","2013","1st American Systems and Services","2,492%","$2.6m","Government Services","","Washington, DC"
"155","2013","1st American Systems and Services","2,492%","$2.6m","Government Services","","Washington, DC"
"156","2013","Extrabux.com","2,492%","$4.6m","Consumer Products & Services","","San Diego"
"156","2013","Extrabux.com","2,492%","$4.6m","Consumer Products & Services","","San Diego"
"157","2013","SCM Data","2,491%","$10.3m","IT Services","","New York City"
"157","2013","SCM Data","2,491%","$10.3m","IT Services","","New York City"
"158","2013","Mobomo","2,484%","$2.7m","Software","","Washington, DC"
"158","2013","Mobomo","2,484%","$2.7m","Software","","Washington, DC"
"159","2013","PropertyRate","2,455%","$4.1m","Real Estate","","Los Angeles"
"159","2013","PropertyRate","2,455%","$4.1m","Real Estate","","Los Angeles"
"160","2013","Medical Staffing Options","2,444%","$4.6m","Health","","Columbus, OH"
"160","2013","Medical Staffing Options","2,444%","$4.6m","Health","","Columbus, OH"
"161","2013","projekt202","2,436%","$12.5m","Software","","Dallas"
"161","2013","projekt202","2,436%","$12.5m","Software","","Dallas"
"162","2013","Summerset Professional Grills","2,429%","$6m","Consumer Products & Services","","Los Angeles"
"162","2013","Summerset Professional Grills","2,429%","$6m","Consumer Products & Services","","Los Angeles"
"163","2013","SimplyGlobo","2,423%","$2.6m","Retail","","Chicago"
"163","2013","SimplyGlobo","2,423%","$2.6m","Retail","","Chicago"
"164","2013","BrightSource Energy","2,415%","$291m","Energy","","San Francisco"
"164","2013","BrightSource Energy","2,415%","$291m","Energy","","San Francisco"
"165","2013","EDJ Precision","2,410%","$4m","Manufacturing","","Houston"
"165","2013","EDJ Precision","2,410%","$4m","Manufacturing","","Houston"
"166","2013","Alternative Technology Solutions","2,407%","$8.7m","Software","","Los Angeles"
"166","2013","Alternative Technology Solutions","2,407%","$8.7m","Software","","Los Angeles"
"167","2013","BayRu","2,390%","$19.4m","Retail","","Chicago"
"167","2013","BayRu","2,390%","$19.4m","Retail","","Chicago"
"168","2013","HUMAN Healthy Vending","2,378%","$9.2m","Food & Beverage","","Los Angeles"
"168","2013","HUMAN Healthy Vending","2,378%","$9.2m","Food & Beverage","","Los Angeles"
"169","2013","GSATi","2,367%","$2.4m","IT Services","","Dallas"
"169","2013","GSATi","2,367%","$2.4m","IT Services","","Dallas"
"170","2013","TracePoint Consulting","2,355%","$4.9m","IT Services","","Atlanta"
"170","2013","TracePoint Consulting","2,355%","$4.9m","IT Services","","Atlanta"
"171","2013","Extreme Reach","2,349%","$41.5m","Advertising & Marketing","","Boston"
"171","2013","Extreme Reach","2,349%","$41.5m","Advertising & Marketing","","Boston"
"172","2013","Act-On Software","2,330%","$9.2m","Software","","Portland, OR"
"172","2013","Act-On Software","2,330%","$9.2m","Software","","Portland, OR"
"173","2013","CSI Powerline","2,313%","$15.9m","Energy","","Phoenix"
"173","2013","CSI Powerline","2,313%","$15.9m","Energy","","Phoenix"
"174","2013","Refinery29","2,301%","$16.5m","Media","","New York City"
"174","2013","Refinery29","2,301%","$16.5m","Media","","New York City"
"175","2013","Clinovations","2,296%","$12.8m","Health","","Washington, DC"
"175","2013","Clinovations","2,296%","$12.8m","Health","","Washington, DC"
"176","2013","Mixbook","2,288%","$25m","Retail","","San Jose"
"177","2013","LenCred","2,286%","$3m","Financial Services","","Philadelphia"
"178","2013","Ticketracker","2,267%","$2.5m","Software","","Anderson, IN"
"179","2013","Recondo Technology","2,261%","$30.3m","Health","","Denver"
"180","2013","Sky Zone Trampoline Park","2,249%","$50.6m","Consumer Products & Services","","Los Angeles"
"181","2013","TNH ADVANCED SPECIALTY PHARMACY","2,248%","$37.7m","Health","","Los Angeles"
"182","2013","Streamline Defense","2,236%","$6.2m","Government Services","","Tampa"
"183","2013","First Flight Solutions","2,232%","$2.7m","Logistics & Transportation","","Morehead City, NC"
"184","2013","WordStream","2,225%","$3.3m","Advertising & Marketing","","Boston"
"185","2013","IT Strategic Performance Firm","2,225%","$3.4m","IT Services","","San Antonio, TX"
"186","2013","Ad-Juster","2,218%","$2.7m","Advertising & Marketing","","San Diego"
"187","2013","EnSite Solutions","2,207%","$10.6m","Business Products & Services","","Dallas"
"188","2013","NextWorth Solutions","2,195%","$31m","Consumer Products & Services","","Boston"
"189","2013","Omatic Software","2,192%","$4.9m","Software","","Charleston-North Charleston, SC"
"190","2013","Advopay","2,178%","$3.6m","Financial Services","","Indianapolis, IN"
"191","2013","Greenphire","2,178%","$5.3m","Software","","Philadelphia"
"192","2013","Wall Street Network Solutions","2,156%","$7.6m","Telecommunications","","New York City"
"193","2013","S2Verify","2,142%","$4.4m","Human Resources","","Atlanta"
"194","2013","Target Logistics","2,131%","$121.9m","Business Products & Services","","Boston"
"195","2013","Virtual Enterprise Architects","2,127%","$3.8m","IT Services","","Washington, DC"
"196","2013","Titan Protection and Consulting","2,117%","$2.4m","Security","","Kansas City, MO-KS"
"197","2013","Evolution Capital Partners","2,117%","$2.7m","Financial Services","","Cleveland"
"198","2013","Glass Mountain Capital","2,112%","$6.8m","Financial Services","","Chicago"
"199","2013","SiiBER","2,095%","$2.5m","Consumer Products & Services","","Fort Wayne, IN"
"200","2013","iSirona","2,092%","$17.2m","Health","","Panama City-Lynn Haven, FL"
"201","2013","Cell Phone Repair","2,091%","$7.5m","Retail","","Orlando, FL"
"202","2013","Silencerco","2,084%","$6.3m","Consumer Products & Services","","Salt Lake City"
"203","2013","CWU","2,062%","$10.2m","Government Services","","Tampa"
"204","2013","AudioMicro","2,053%","$2.1m","Media","","Los Angeles"
"205","2013","ReconCraft","2,045%","$2.1m","Manufacturing","","Boston"
"206","2013","TEEMA Solutions Group","2,042%","$30m","Human Resources","","Los Angeles"
"207","2013","Solomon Consulting Group","2,027%","$2.1m","IT Services","","Kansas City, MO-KS"
"208","2013","GarbageMan, A Green Company","2,018%","$8.8m","Environmental Services","","Minneapolis"
"209","2013","TheraPearl","2,017%","$5m","Consumer Products & Services","","Baltimore"
"210","2013","Landmark Network","2,004%","$7.5m","Real Estate","","Los Angeles"
"211","2013","TaskUs","1,999%","$3.8m","Business Products & Services","","Los Angeles"
"212","2013","NTE Solutions","1,997%","$4.4m","Energy","","Jacksonville, FL"
"213","2013","Arocon Roofing and Construction","1,982%","$8.7m","Construction","","Baltimore"
"214","2013","The Brixton Group","1,975%","$20.9m","IT Services","","Charlotte"
"215","2013","FreeAlliance.com","1,952%","$2.6m","Government Services","","Washington, DC"
"216","2013","BWBacon Group","1,949%","$3.5m","Human Resources","","Denver"
"217","2013","Sovereign Lending Group","1,945%","$6.2m","Financial Services","","Los Angeles"
"219","2013","Novisync","1,928%","$7.4m","IT Services","","Poughkeepsie-Newburgh-Middletown, NY"
"220","2013","Snap Advances","1,925%","$21.9m","Financial Services","","Salt Lake City"
"221","2013","Dane Street","1,922%","$9.4m","Health","","Boston"
"222","2013","OpenX","1,921%","$153.9m","Advertising & Marketing","","Los Angeles"
"223","2013","Quick Left","1,917%","$2.8m","Software","","Boulder, CO"
"224","2013","Titan Electric","1,916%","$6.8m","Construction","","Charlotte"
"225","2013","Victor Securities","1,910%","$5m","Financial Services","","New York City"
"226","2013","New Wave Surgical","1,904%","$12.3m","Health","","Miami"
"227","2013","Superfly Kids","1,893%","$2.3m","Consumer Products & Services","","Detroit"
"228","2013","LINQ Services","1,892%","$57.4m","Business Products & Services","","Baltimore"
"229","2013","Vesa Health & Technology","1,856%","$15.5m","Government Services","","San Antonio, TX"
"230","2013","Adora","1,855%","$2.6m","Retail","","Thomasville-Lexington, NC"
"231","2013","WebPT","1,837%","$8.8m","Software","","Phoenix"
"232","2013","Rethink Autism","1,827%","$4m","Education","","New York City"
"233","2013","Team Trident","1,823%","$6.7m","Energy","","Houston"
"234","2013","Camp Gladiator","1,820%","$4.6m","Consumer Products & Services","","Austin"
"235","2013","Whitacre logisitcs","1,813%","$19.9m","Logistics & Transportation","","Toledo, OH"
"236","2013","VinoPro","1,810%","$2.4m","Food & Beverage","","Santa Rosa-Petaluma, CA"
"237","2013","Xtreme Solutions","1,810%","$8.5m","IT Services","","Atlanta"
"238","2013","North Florida Field Services","1,808%","$13m","Construction","","Jacksonville, FL"
"239","2013","TubeMogul","1,803%","$53.3m","Advertising & Marketing","","San Francisco"
"240","2013","iQuanti","1,796%","$2.5m","Advertising & Marketing","","New York City"
"241","2013","PanelClaw","1,790%","$35.2m","Energy","","Boston"
"242","2013","VETS etc.","1,788%","$3.7m","IT Services","","Salinas, CA"
"243","2013","Infolob Solutions","1,778%","$12.1m","IT Services","","Dallas"
"244","2013","VincentBenjamin","1,770%","$8.1m","Human Resources","","Phoenix"
"245","2013","CardCash.com","1,769%","$16m","Consumer Products & Services","","New York City"
"246","2013","Cardinal Point Captains","1,765%","$2m","Government Services","","San Diego"
"247","2013","TrendyMinds","1,758%","$3.7m","Advertising & Marketing","","Indianapolis, IN"
"248","2013","Modern Everyday","1,751%","$6m","Retail","","Los Angeles"
"249","2013","SearchPros Solutions","1,727%","$27.6m","Human Resources","","Sacramento, CA"
"250","2013","Gravity Media","1,724%","$12.3m","Advertising & Marketing","","New York City"
"251","2013","Babyhaven.com","1,716%","$11.4m","Retail","","Los Angeles"
"252","2013","BENZARA","1,702%","$2m","Retail","","Los Angeles"
"253","2013","Plum Organics","1,691%","$80.7m","Food & Beverage","","San Francisco"
"254","2013","Crunchy Logistics","1,687%","$2.1m","IT Services","","Orlando, FL"
"255","2013","Transcend Media","1,673%","$6.6m","Advertising & Marketing","","Miami"
"256","2013","FlexWage Solutions","1,670%","$2.1m","Financial Services","","New York City"
"257","2013","3 Key Elements","1,666%","$2m","Education","","Salt Lake City"
"258","2013","Patient Engagement Advisors","1,664%","$2.3m","Health","","Birmingham-Hoover, AL"
"259","2013","Macrospect","1,661%","$4.5m","IT Services","","Dallas"
"260","2013","iDrive Logistics","1,653%","$11.2m","Logistics & Transportation","","Provo-Orem, UT"
"261","2013","Technomax","1,652%","$2.3m","IT Services","","Trenton, NJ"
"262","2013","ShayCore Enterprises","1,640%","$6.8m","Construction","","Jacksonville, FL"
"263","2013","SAPremacy Consulting","1,640%","$6.1m","IT Services","","Chicago"
"264","2013","MSR Promo","1,630%","$2.3m","Business Products & Services","","New York City"
"265","2013","Verdi Consulting","1,626%","$5.8m","Government Services","","Washington, DC"
"266","2013","Hawaii Energy Connection","1,609%","$45.1m","Energy","","Honolulu, HI"
"267","2013","NUE Agency","1,604%","$4.5m","Media","","New York City"
"268","2013","MMC Systems","1,603%","$8.8m","IT Services","","Washington, DC"
"277","2013","JG Tax Group","1,561%","$4.5m","Financial Services","","Miami"
"278","2013","Oncology Analytics","1,561%","$2.6m","Health","","Miami"
"279","2013","Patina Solutions","1,555%","$9.9m","Human Resources","","Milwaukee-Waukesha-West Allis, WI"
"280","2013","RosettaBooks","1,549%","$3.2m","Media","","New York City"
"281","2013","Acordis International","1,542%","$2.2m","IT Services","","Miami"
"282","2013","FreightPros","1,541%","$7.1m","Logistics & Transportation","","Austin"
"283","2013","Vintage IT Services","1,531%","$28.9m","IT Services","","Austin"
"284","2013","Bottle Rocket Apps","1,529%","$10.7m","Software","","Dallas"
"285","2013","SET","1,528%","$23.6m","Advertising & Marketing","","Portland, OR"
"286","2013","Landmark Retail","1,519%","$6.1m","Construction","","New York City"
"287","2013","Regal Assets","1,514%","$24.4m","Financial Services","","Los Angeles"
"288","2013","The FlexPro Group","1,513%","$6.6m","Health","","Philadelphia"
"289","2013","ODW Logistics & Transportation Services","1,508%","$14.7m","Logistics & Transportation","","Cincinnati"
"290","2013","Plug Smart","1,507%","$6.3m","Energy","","Columbus, OH"
"291","2013","Column Five","1,504%","$5.3m","Advertising & Marketing","","Los Angeles"
"292","2013","ActivityRez","1,481%","$5m","Software","","Honolulu, HI"
"293","2013","InfoFree","1,473%","$2.4m","Business Products & Services","","San Francisco"
"294","2013","Knight Solutions","1,472%","$16.2m","Government Services","","Washington, DC"
"295","2013","ScanDigital","1,462%","$7.5m","Consumer Products & Services","","Los Angeles"
"296","2013","Blue Star Tec","1,461%","$2.8m","IT Services","","Chicago"
"302","2013","Armstrong Steel Building Systems","1,438%","$8m","Construction","","Denver"
"303","2013","Memphis Invest","1,429%","$39.9m","Real Estate","","Memphis, TN-MS-AR"
"304","2013","Reboot Marketing","1,428%","$11.7m","Advertising & Marketing","","CBSA Metro Region"
"305","2013","OrigAudio","1,423%","$3.5m","Consumer Products & Services","","Los Angeles"
"306","2013","Farm2Fleet Trucking","1,415%","$2.3m","Logistics & Transportation","","Chattanooga, TN-GA"
"307","2013","SHINE Systems & Technologies","1,410%","$5.8m","Government Services","","Charlottesville, VA"
"308","2013","Rescue One Financial","1,406%","$31.6m","Financial Services","","Los Angeles"
"309","2013","Ivy Exec","1,401%","$2.2m","Human Resources","","New York City"
"310","2013","ACT Appraisal","1,388%","$15.2m","Real Estate","","Chicago"
"311","2013","Tolteq","1,385%","$28.5m","Energy","","Austin"
"312","2013","Blueline Security Services","1,383%","$2.2m","Security","","Washington, DC"
"313","2013","Wireless Communications","1,378%","$43.1m","Retail","","Greenville-Mauldin-Easley, SC"
"314","2013","Panjiva","1,377%","$3.9m","Business Products & Services","","New York City"
"315","2013","NuCourse Distribution","1,373%","$97.4m","Consumer Products & Services","","Los Angeles"
"316","2013","Legacy Analytics","1,364%","$3.5m","Business Products & Services","","Chicago"
"317","2013","SunSoft","1,361%","$2.4m","IT Services","","Phoenix"
"318","2013","Simpleray","1,354%","$2.2m","Energy","","Minneapolis"
"319","2013","Green Earth","1,350%","$7.6m","Business Products & Services","","New York City"
"320","2013","ISBX","1,345%","$5.2m","Software","","Los Angeles"
"321","2013","OneScreen","1,344%","$15.8m","Media","","Los Angeles"
"322","2013","Barbaricum","1,340%","$6m","Government Services","","Washington, DC"
"323","2013","Seamgen","1,328%","$3.7m","Software","","San Diego"
"324","2013","MiLend","1,323%","$14.2m","Financial Services","","Atlanta"
"325","2013","Sunsight Instruments","1,320%","$2.1m","Telecommunications","","Orlando, FL"
"326","2013","Applause","1,318%","$17m","Business Products & Services","","Boston"
"327","2013","inviCRO","1,312%","$5.7m","Health","","Boston"
"328","2013","Gibbon Slacklines","1,312%","$3.7m","Consumer Products & Services","","Boulder, CO"
"329","2013","EcoSwift","1,311%","$4.1m","Retail","","Provo-Orem, UT"
"330","2013","Abbyson Living","1,311%","$29.7m","Consumer Products & Services","","Los Angeles"
"331","2013","Pivot Employment Platforms","1,305%","$100.1m","Human Resources","","Kansas City, MO-KS"
"332","2013","Branding Brand","1,302%","$8m","Software","","Pittsburgh, PA"
"333","2013","RAMPS International","1,299%","$7.3m","IT Services","","New York City"
"334","2013","FuelFX","1,291%","$2.2m","Advertising & Marketing","","Ashtabula, OH"
"335","2013","enVision Business Consulting","1,291%","$10.4m","Business Products & Services","","Denver"
"336","2013","TWO95 International","1,289%","$4.5m","IT Services","","Philadelphia"
"337","2013","Bed Bug Supply","1,285%","$6.8m","Consumer Products & Services","","Miami"
"338","2013","Cartagz","1,282%","$20.9m","Consumer Products & Services","","Sacramento--Arden-Arcade--Roseville, CA"
"339","2013","Nisga'a Data Systems","1,281%","$9.4m","Government Services","","Washington, DC"
"340","2013","CollabraLink Technologies","1,279%","$6.8m","IT Services","","Washington, DC"
"341","2013","Complete Merchant Solutions","1,271%","$31m","Financial Services","","Provo-Orem, UT"
"342","2013","Williams Strength","1,268%","$3.4m","Consumer Products & Services","","Columbia, SC"
"343","2013","Ustream","1,265%","$17.3m","Media","","San Francisco"
"344","2013","Grammarly","1,260%","$8m","Consumer Products & Services","","San Francisco"
"345","2013","ReverbNation","1,257%","$13.8m","Software","","Durham, NC"
"346","2013","ATDynamics","1,255%","$8.2m","Logistics & Transportation","","San Francisco"
"347","2013","HireVue","1,251%","$5.7m","Human Resources","","Salt Lake City"
"348","2013","Echo Health","1,250%","$24.9m","Health","","Cleveland"
"349","2013","Taurean","1,249%","$5.8m","Government Services","","San Antonio, TX"
"350","2013","Innotion Enterprises","1,248%","$41.4m","Real Estate","","Washington, DC"
"351","2013","Configero","1,245%","$2.2m","IT Services","","Atlanta"
"352","2013","Elorac","1,245%","$6.1m","Health","","Chicago"
"353","2013","Fitness On Request","1,243%","$3.8m","Health","","Minneapolis"
"354","2013","KT TAPE","1,239%","$9.1m","Health","","Provo-Orem, UT"
"355","2013","Wellness Corporate Solutions","1,237%","$9.2m","Health","","Washington, DC"
"356","2013","Profit Sense Innovations","1,237%","$5m","Business Products & Services","","New York City"
"357","2013","SugarSync","1,234%","$17.3m","Software","","San Francisco"
"358","2013","Magnet 360","1,231%","$17.1m","Advertising & Marketing","","Minneapolis"
"359","2013","Acceleration Partners","1,227%","$3.3m","Advertising & Marketing","","Boston"
"360","2013","Century Payments","1,218%","$206.3m","Financial Services","","Dallas"
"361","2013","FCi Federal","1,218%","$70.8m","Government Services","","Washington, DC"
"362","2013","Platinum Advisor Strategies","1,218%","$2.3m","Financial Services","","Ocala, FL"
"363","2013","Reserveage Organics","1,213%","$63.2m","Health","","Gainesville, FL"
"364","2013","Clearleap","1,213%","$5.5m","Software","","Atlanta"
"365","2013","Dynamix Mechanical","1,212%","$13.2m","Government Services","","Tampa"
"366","2013","All Green Electronics Recycling","1,209%","$4.6m","Business Products & Services","","Los Angeles"
"367","2013","Marketo","1,205%","$58.4m","Software","","San Francisco"
"368","2013","Netsertive","1,193%","$9m","Advertising & Marketing","","Durham-Chapel Hill, NC"
"369","2013","FATHOM (Oakland, CA)","1,188%","$3.3m","Manufacturing","","San Francisco"
"370","2013","Re:think (Ramsey, NJ)","1,186%","$2.8m","Advertising & Marketing","","New York City"
"371","2013","24Hr HomeCare","1,185%","$18.3m","Health","","Los Angeles"
"372","2013","Securus Payments","1,184%","$6.5m","Financial Services","","Portland, OR"
"373","2013","Evo Exhibits","1,184%","$4.4m","Advertising & Marketing","","Chicago"
"374","2013","Govind Development","1,182%","$14m","Engineering","","Austin"
"375","2013","Action Lead Solutions","1,181%","$7.8m","Advertising & Marketing","","Chicago"
"376","2013","Martini Media","1,177%","$17.1m","Advertising & Marketing","","San Francisco"
"377","2013","Strongbridge","1,174%","$10.1m","Government Services","","Washington, DC"
"378","2013","The Force Realty","1,173%","$6.5m","Real Estate","","Seattle"
"379","2013","School Tech Supply","1,169%","$13.2m","Education","","Oxnard-Thousand Oaks-Ventura, CA"
"380","2013","Integrated Prescription Management","1,167%","$53.1m","Health","","Fresno, CA"
"381","2013","EHD Technologies","1,165%","$20.5m","Business Products & Services","","Nashville"
"382","2013","Dynamic Recycling","1,165%","$13.4m","Manufacturing","","La Crosse, WI-MN"
"383","2013","HPI","1,161%","$204.7m","Energy","","Houston"
"384","2013","WebEyeCare","1,157%","$4.6m","Retail","","Philadelphia"
"385","2013","Rigil","1,156%","$8.2m","IT Services","","Washington, DC"
"386","2013","Seven Swords Media","1,156%","$8.8m","Advertising & Marketing","","Providence-New Bedford-Fall River, RI-MA"
"387","2013","The Premier Group","1,152%","$11.3m","Human Resources","","Denver"
"388","2013","Odyssey Telecommunications","1,140%","$3.2m","Telecommunications","","Buffalo-Niagara Falls, NY"
"389","2013","Marketsmith","1,138%","$28.1m","Advertising & Marketing","","New York City"
"390","2013","Channel Partners Capital","1,137%","$2.2m","Financial Services","","Minneapolis"
"391","2013","BNL","1,136%","$5.9m","Government Services","","Washington, DC"
"392","2013","Colo5","1,135%","$7.1m","IT Services","","Jacksonville, FL"
"393","2013","Cornerstone Advisors Group","1,130%","$6m","Health","","Bridgeport-Stamford-Norwalk, CT"
"394","2013","Trend Nation","1,126%","$7.6m","Retail","","Las Vegas-Henderson-Paradise, NV"
"395","2013","Summit 7 Systems","1,125%","$3.1m","IT Services","","Huntsville, AL"
"396","2013","Adscend Media","1,123%","$10.8m","Advertising & Marketing","","Dallas"
"397","2013","ERP International","1,121%","$22.3m","Government Services","","Washington, DC"
"398","2013","Modus eDiscovery","1,120%","$18m","Business Products & Services","","Washington, DC"
"399","2013","4moms","1,112%","$15.9m","Consumer Products & Services","","Pittsburgh, PA"
"400","2013","Forward Health","1,107%","$10.4m","Health","","New York City"
"401","2013","GO Auto Recycling","1,106%","$5.6m","Consumer Products & Services","","Jacksonville, FL"
"402","2013","Luna Data Solutions","1,104%","$37.2m","IT Services","","Austin"
"403","2013","Lumosity","1,104%","$23.7m","Consumer Products & Services","","San Francisco"
"404","2013","PalmerHouse Properties","1,103%","$7.2m","Real Estate","","Atlanta"
"405","2013","Gravitate Solutions","1,101%","$4m","Software","","Washington, DC"
"406","2013","R.J. Allen & Associates","1,099%","$14.6m","Construction","","Tupelo, MS"
"407","2013","Caneel Group","1,097%","$6.9m","Financial Services","","Philadelphia"
"408","2013","ESAC","1,094%","$7.3m","Health","","Washington, DC"
"409","2013","Paramount Business Jets","1,093%","$4.3m","Travel & Hospitality","","Washington, DC"
"410","2013","CarGurus","1,091%","$17.4m","Consumer Products & Services","","Boston"
"411","2013","LinTech Global","1,091%","$2.8m","Government Services","","Detroit"
"412","2013","Techsol4U","1,089%","$2.2m","IT Services","","Stockton, CA"
"413","2013","Santa Rosa Consulting","1,087%","$54m","Health","","Nashville"
"414","2013","Merch Makers","1,085%","$2m","Consumer Products & Services","","Ames, IA"
"415","2013","In-Flight Crew Connections","1,083%","$6.9m","Travel & Hospitality","","Charlotte"
"416","2013","Otter Products","1,081%","$573.9m","Consumer Products & Services","","Boulder, CO"
"417","2013","CoesterVMS","1,080%","$14.1m","Real Estate","","Washington, DC"
"418","2013","Grok","1,077%","$9.3m","Advertising & Marketing","","New York City"
"419","2013","VCA","1,077%","$2.2m","Business Products & Services","","Phoenix"
"420","2013","Five Stones Research","1,076%","$5m","Government Services","","Huntsville, AL"
"421","2013","Mid Atlantic Professionals","1,076%","$9.1m","Government Services","","Washington, DC"
"422","2013","Stonegate Mortgage","1,074%","$95.5m","Financial Services","","Indianapolis, IN"
"423","2013","Preferred Proppants","1,074%","$351.4m","Energy","","Philadelphia"
"424","2013","Kenry Home Improvement","1,072%","$3.3m","Retail","","Austin"
"425","2013","305 Degrees","1,071%","$10.1m","Travel & Hospitality","","Miami"
"426","2013","Special Operations Solutions","1,069%","$11.4m","Government Services","","Washington, DC"
"427","2013","TISTA Science and Technology","1,066%","$16m","Government Services","","Washington, DC"
"428","2013","Careers In Transition","1,066%","$5.3m","Human Resources","","Atlanta"
"429","2013","Alego Health","1,062%","$8.6m","Health","","Cleveland"
"430","2013","Vdart","1,059%","$20.7m","IT Services","","Atlanta"
"431","2013","BoomTown","1,058%","$8.1m","Software","","Charleston-North Charleston, SC"
"432","2013","Yorktown Systems Group","1,057%","$10.6m","Government Services","","Huntsville, AL"
"433","2013","GreenJobInterview","1,056%","$2.5m","Software","","Los Angeles"
"434","2013","Planet Solar","1,055%","$7.6m","Construction","","Santa Barbara-Santa Maria-Goleta, CA"
"435","2013","Onsite Health Diagnostics","1,050%","$6.7m","Health","","Dallas"
"436","2013","It Works!","1,047%","$200m","Consumer Products & Services","","Sarasota-Bradenton-Venice, FL"
"437","2013","Infosemantics","1,046%","$7.1m","IT Services","","Dallas"
"438","2013","Kavaliro","1,043%","$16.8m","Human Resources","","Orlando, FL"
"439","2013","SPICA Computers","1,041%","$2m","IT Services","","New York City"
"440","2013","REPAY - Realtime Electronic Payments","1,040%","$12.7m","Financial Services","","Atlanta"
"441","2013","North American Dental Group","1,031%","$31.1m","Health","","New Castle, PA"
"442","2013","FBS","1,030%","$2.3m","Business Products & Services","","Dallas"
"443","2013","ClearAbility","1,029%","$2.5m","Government Services","","Baltimore"
"444","2013","AdColony","1,028%","$11.3m","Advertising & Marketing","","Los Angeles"
"445","2013","Network Capital","1,027%","$43.8m","Financial Services","","Los Angeles"
"446","2013","BH Cosmetics","1,027%","$7.8m","Retail","","Los Angeles"
"447","2013","StandBy Talent Staffing Services","1,026%","$2.2m","Human Resources","","Atlanta"
"448","2013","Rooster Park","1,025%","$8.1m","Software","","Seattle"
"449","2013","Mo'mix Solutions","1,025%","$4.2m","IT Services","","Austin"
"450","2013","Carrot Creative","1,024%","$7.2m","Advertising & Marketing","","New York City"
"451","2013","PlayMaker CRM","1,018%","$2.2m","Software","","Nashville"
"452","2013","Frontline Source Group","1,015%","$8.6m","Human Resources","","Dallas"
"453","2013","Brafton","1,014%","$16.7m","Advertising & Marketing","","Boston"
"454","2013","Classy Llama","1,008%","$2.3m","Advertising & Marketing","","Springfield, MO"
"455","2013","Janrain","1,008%","$5.8m","Software","","Portland, OR"
"456","2013","Dogs Bollocks DB5","1,007%","$5.7m","Advertising & Marketing","","Los Angeles"
"457","2013","Encompass Digital Media","1,005%","$210.4m","Media","","Bridgeport-Stamford-Norwalk, CT"
"458","2013","Worldwide Power Products","1,004%","$31m","Energy","","Houston"
